"id","title","author","published_date","publisher","genre"
1,Laut bercerita,Leila S. Chudori,2017-01-01,Kepustakaan Populer Gramedia,
2,Bumi Manusia,Pramoedya Ananta Toer,1980-01-01,Hasta Mitra,
3,Tetralogi Buru,Pramoedya Ananta Toer,1980-01-01,Hasta Mitra,
4,The Rainbow Troops,Andrea Hirata,2013-02-15,Penguin Books Limited,
5,Beauty is a Wound,Eka Kurniawan,2015-08-26,Text Publishing Company,
